D,E,G,H,O
Bachelors,13,Adm-clerical,Not-in-family,<=50K
Some-college,10,Craft-repair,Not-in-family,<=50K
Some-college,10,Other-service,Own-child,<=50K
Prof-school,15,Prof-specialty,Husband,>50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
10th,6,Sales,Own-child,<=50K
Bachelors,13,Prof-specialty,Husband,<=50K
HS-grad,9,noValueSetHere123156456,Own-child,<=50K
HS-grad,9,Other-service,Not-in-family,<=50K
Some-college,10,Craft-repair,Husband,<=50K
Some-college,10,Machine-op-inspct,Not-in-family,<=50K
Some-college,10,Craft-repair,Unmarried,<=50K
Bachelors,13,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Sales,Wife,<=50K
HS-grad,9,Adm-clerical,Unmarried,<=50K
Prof-school,15,Prof-specialty,Husband,>50K
Some-college,10,noValueSetHere123156456,Husband,>50K
HS-grad,9,Sales,Own-child,<=50K
Prof-school,15,Prof-specialty,Not-in-family,>50K
HS-grad,9,Adm-clerical,Not-in-family,<=50K
Some-college,10,Tech-support,Not-in-family,<=50K
5th-6th,3,noValueSetHere123156456,Husband,<=50K
HS-grad,9,Adm-clerical,Other-relative,<=50K
12th,8,Other-service,Not-in-family,<=50K
HS-grad,9,Protective-serv,Husband,<=50K
HS-grad,9,Other-service,Own-child,<=50K
Assoc-acdm,12,Prof-specialty,Husband,>50K
HS-grad,9,Craft-repair,Husband,<=50K
Bachelors,13,Prof-specialty,Own-child,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
HS-grad,9,Craft-repair,Not-in-family,<=50K
HS-grad,9,Other-service,Own-child,<=50K
HS-grad,9,Handlers-cleaners,Husband,<=50K
Some-college,10,Sales,Own-child,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
HS-grad,9,Adm-clerical,Own-child,<=50K
HS-grad,9,Craft-repair,Wife,>50K
HS-grad,9,Craft-repair,Husband,<=50K
Bachelors,13,Craft-repair,Own-child,<=50K
10th,6,Transport-moving,Husband,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
Bachelors,13,Exec-managerial,Husband,>50K
Assoc-acdm,12,Other-service,Husband,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
9th,5,Machine-op-inspct,Husband,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
Bachelors,13,Prof-specialty,Husband,>50K
HS-grad,9,Craft-repair,Husband,<=50K
HS-grad,9,Sales,Husband,<=50K
Some-college,10,noValueSetHere123156456,Unmarried,<=50K
Some-college,10,Sales,Husband,>50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Transport-moving,Husband,>50K
10th,6,Transport-moving,Husband,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Other-service,Other-relative,<=50K
HS-grad,9,Craft-repair,Unmarried,<=50K
Assoc-acdm,12,Adm-clerical,Husband,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Unmarried,<=50K
Assoc-acdm,12,Prof-specialty,Husband,<=50K
HS-grad,9,Exec-managerial,Not-in-family,<=50K
Some-college,10,Other-service,Own-child,<=50K
11th,7,Transport-moving,Husband,<=50K
HS-grad,9,Exec-managerial,Not-in-family,<=50K
Some-college,10,Prof-specialty,Wife,<=50K
Bachelors,13,Sales,Husband,>50K
Doctorate,16,Prof-specialty,Not-in-family,<=50K
Some-college,10,Other-service,Not-in-family,<=50K
HS-grad,9,Protective-serv,Not-in-family,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
HS-grad,9,Exec-managerial,Husband,<=50K
Assoc-acdm,12,Other-service,Own-child,<=50K
HS-grad,9,Transport-moving,Husband,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
12th,8,Handlers-cleaners,Own-child,<=50K
HS-grad,9,noValueSetHere123156456,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Unmarried,<=50K
Masters,14,Prof-specialty,Not-in-family,>50K
Masters,14,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Transport-moving,Wife,<=50K
HS-grad,9,Craft-repair,Own-child,<=50K
Some-college,10,Craft-repair,Husband,>50K
HS-grad,9,Handlers-cleaners,Not-in-family,<=50K
7th-8th,4,Craft-repair,Husband,<=50K
Some-college,10,Adm-clerical,Husband,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
HS-grad,9,Adm-clerical,Unmarried,<=50K
7th-8th,4,Other-service,Husband,<=50K
11th,7,Machine-op-inspct,Husband,<=50K
Doctorate,16,Prof-specialty,Husband,>50K
9th,5,Other-service,Own-child,<=50K
HS-grad,9,Tech-support,Own-child,>50K
HS-grad,9,Other-service,Wife,<=50K
Some-college,10,Machine-op-inspct,Own-child,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Machine-op-inspct,Not-in-family,<=50K
HS-grad,9,Handlers-cleaners,Not-in-family,<=50K
HS-grad,9,Sales,Unmarried,<=50K
Assoc-voc,11,Exec-managerial,Not-in-family,>50K
Some-college,10,noValueSetHere123156456,Own-child,<=50K
HS-grad,9,Sales,Husband,>50K
HS-grad,9,Sales,Husband,<=50K
Bachelors,13,Protective-serv,Not-in-family,<=50K
Bachelors,13,Tech-support,Husband,>50K
Bachelors,13,Adm-clerical,Not-in-family,<=50K
Masters,14,Prof-specialty,Not-in-family,<=50K
Bachelors,13,Tech-support,Husband,>50K
Assoc-voc,11,Other-service,Other-relative,<=50K
10th,6,Craft-repair,Own-child,<=50K
11th,7,noValueSetHere123156456,Not-in-family,<=50K
HS-grad,9,Sales,Husband,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
Bachelors,13,noValueSetHere123156456,Husband,>50K
HS-grad,9,Other-service,Husband,<=50K
Some-college,10,Sales,Own-child,<=50K
Some-college,10,Exec-managerial,Husband,>50K
Some-college,10,Other-service,Wife,<=50K
7th-8th,4,Sales,Other-relative,<=50K
HS-grad,9,Machine-op-inspct,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Own-child,<=50K
HS-grad,9,Adm-clerical,Husband,<=50K
Bachelors,13,Prof-specialty,Not-in-family,>50K
11th,7,Sales,Own-child,<=50K
7th-8th,4,Craft-repair,Husband,>50K
Masters,14,Exec-managerial,Husband,>50K
HS-grad,9,Other-service,Not-in-family,<=50K
Some-college,10,Adm-clerical,Own-child,<=50K
Some-college,10,Transport-moving,Husband,<=50K
Some-college,10,Exec-managerial,Husband,<=50K
HS-grad,9,Exec-managerial,Wife,>50K
Bachelors,13,Craft-repair,Husband,<=50K
Assoc-voc,11,Farming-fishing,Husband,>50K
Some-college,10,Craft-repair,Husband,>50K
Prof-school,15,Prof-specialty,Husband,>50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
Some-college,10,Handlers-cleaners,Husband,>50K
HS-grad,9,Craft-repair,Not-in-family,<=50K
HS-grad,9,Transport-moving,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Own-child,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Handlers-cleaners,Own-child,<=50K
1st-4th,2,Sales,Husband,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Wife,<=50K
HS-grad,9,Machine-op-inspct,Not-in-family,<=50K
Doctorate,16,Sales,Husband,<=50K
5th-6th,3,Adm-clerical,Husband,<=50K
Bachelors,13,Prof-specialty,Own-child,<=50K
Assoc-voc,11,Machine-op-inspct,Husband,>50K
Some-college,10,noValueSetHere123156456,Own-child,<=50K
HS-grad,9,noValueSetHere123156456,Not-in-family,<=50K
Some-college,10,Craft-repair,Not-in-family,<=50K
Assoc-voc,11,Other-service,Not-in-family,<=50K
12th,8,Handlers-cleaners,Unmarried,<=50K
Prof-school,15,Prof-specialty,Husband,>50K
Assoc-acdm,12,Other-service,Own-child,<=50K
HS-grad,9,Exec-managerial,Other-relative,<=50K
Assoc-voc,11,Prof-specialty,Unmarried,<=50K
Some-college,10,Exec-managerial,Husband,>50K
9th,5,Machine-op-inspct,Husband,<=50K
11th,7,Craft-repair,Husband,>50K
Bachelors,13,Exec-managerial,Husband,>50K
HS-grad,9,Handlers-cleaners,Husband,<=50K
Some-college,10,Other-service,Not-in-family,<=50K
HS-grad,9,Exec-managerial,Not-in-family,>50K
Some-college,10,Other-service,Not-in-family,<=50K
11th,7,Adm-clerical,Not-in-family,<=50K
Bachelors,13,Exec-managerial,Husband,<=50K
Masters,14,Prof-specialty,Wife,>50K
Bachelors,13,Exec-managerial,Own-child,<=50K
HS-grad,9,Exec-managerial,Husband,<=50K
7th-8th,4,Prof-specialty,Husband,<=50K
Masters,14,Prof-specialty,Husband,>50K
HS-grad,9,Craft-repair,Unmarried,<=50K
11th,7,Machine-op-inspct,Husband,>50K
Some-college,10,noValueSetHere123156456,Own-child,<=50K
9th,5,Exec-managerial,Husband,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
Some-college,10,Exec-managerial,Husband,<=50K
10th,6,Other-service,Own-child,<=50K
Prof-school,15,Prof-specialty,Husband,>50K
HS-grad,9,Adm-clerical,Unmarried,<=50K
10th,6,Craft-repair,Husband,<=50K
HS-grad,9,Transport-moving,Husband,>50K
10th,6,Craft-repair,Unmarried,<=50K
Bachelors,13,Prof-specialty,Own-child,<=50K
HS-grad,9,Other-service,Unmarried,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Exec-managerial,Not-in-family,<=50K
Masters,14,Prof-specialty,Husband,>50K
HS-grad,9,Other-service,Husband,<=50K
Some-college,10,Adm-clerical,Husband,<=50K
Bachelors,13,Craft-repair,Husband,<=50K
9th,5,Handlers-cleaners,Own-child,<=50K
Some-college,10,Machine-op-inspct,Husband,>50K
Bachelors,13,Craft-repair,Husband,<=50K
HS-grad,9,Adm-clerical,Own-child,<=50K
Prof-school,15,Exec-managerial,Not-in-family,>50K
Some-college,10,Exec-managerial,Wife,<=50K
10th,6,Sales,Not-in-family,<=50K
Masters,14,Adm-clerical,Own-child,<=50K
Some-college,10,Adm-clerical,Wife,<=50K
Assoc-acdm,12,Adm-clerical,Unmarried,<=50K
Assoc-voc,11,Farming-fishing,Husband,<=50K
HS-grad,9,Handlers-cleaners,Husband,<=50K
9th,5,Handlers-cleaners,Unmarried,<=50K
HS-grad,9,Craft-repair,Unmarried,<=50K
Some-college,10,Adm-clerical,Husband,<=50K
Assoc-voc,11,Other-service,Not-in-family,<=50K
Bachelors,13,Sales,Husband,>50K
5th-6th,3,Transport-moving,Husband,<=50K
Some-college,10,Adm-clerical,Own-child,<=50K
Some-college,10,Sales,Unmarried,<=50K
Bachelors,13,Tech-support,Not-in-family,<=50K
11th,7,Handlers-cleaners,Not-in-family,<=50K
Masters,14,Prof-specialty,Husband,>50K
Some-college,10,Sales,Not-in-family,<=50K
HS-grad,9,Craft-repair,Not-in-family,<=50K
Assoc-voc,11,Craft-repair,Own-child,<=50K
HS-grad,9,Transport-moving,Not-in-family,<=50K
Bachelors,13,Other-service,Husband,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
1st-4th,2,Other-service,Other-relative,<=50K
Bachelors,13,Prof-specialty,Not-in-family,>50K
Bachelors,13,Exec-managerial,Not-in-family,<=50K
Doctorate,16,noValueSetHere123156456,Husband,>50K
HS-grad,9,Sales,Not-in-family,<=50K
Some-college,10,Tech-support,Husband,<=50K
Some-college,10,Prof-specialty,Not-in-family,<=50K
HS-grad,9,Other-service,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
HS-grad,9,Craft-repair,Husband,>50K
HS-grad,9,Adm-clerical,Own-child,<=50K
Some-college,10,Handlers-cleaners,Not-in-family,<=50K
12th,8,Adm-clerical,Other-relative,<=50K
HS-grad,9,Sales,Unmarried,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
Bachelors,13,Sales,Not-in-family,<=50K
Some-college,10,noValueSetHere123156456,Own-child,<=50K
Some-college,10,Prof-specialty,Husband,>50K
Masters,14,Exec-managerial,Unmarried,>50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
Some-college,10,noValueSetHere123156456,Unmarried,<=50K
Some-college,10,Adm-clerical,Other-relative,<=50K
Some-college,10,Sales,Husband,<=50K
Bachelors,13,Protective-serv,Not-in-family,>50K
Bachelors,13,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Transport-moving,Husband,>50K
HS-grad,9,Other-service,Unmarried,<=50K
10th,6,Craft-repair,Husband,<=50K
HS-grad,9,Machine-op-inspct,Husband,>50K
Bachelors,13,Farming-fishing,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Sales,Husband,<=50K
HS-grad,9,noValueSetHere123156456,Other-relative,<=50K
Masters,14,Prof-specialty,Wife,>50K
HS-grad,9,Sales,Husband,<=50K
Assoc-voc,11,noValueSetHere123156456,Not-in-family,<=50K
Some-college,10,Craft-repair,Not-in-family,<=50K
Some-college,10,Sales,Own-child,<=50K
Prof-school,15,Prof-specialty,Husband,>50K
Bachelors,13,Exec-managerial,Husband,>50K
HS-grad,9,Sales,Unmarried,<=50K
HS-grad,9,Sales,Not-in-family,<=50K
Assoc-acdm,12,noValueSetHere123156456,Other-relative,<=50K
Some-college,10,Sales,Husband,>50K
Some-college,10,Other-service,Own-child,<=50K
HS-grad,9,Other-service,Own-child,<=50K
HS-grad,9,Machine-op-inspct,Own-child,<=50K
HS-grad,9,Transport-moving,Own-child,<=50K
Some-college,10,Craft-repair,Husband,<=50K
Assoc-acdm,12,Adm-clerical,Own-child,<=50K
HS-grad,9,Adm-clerical,Not-in-family,<=50K
Masters,14,Prof-specialty,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Husband,<=50K
HS-grad,9,Machine-op-inspct,Other-relative,<=50K
Bachelors,13,Sales,Not-in-family,<=50K
Bachelors,13,Craft-repair,Husband,>50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
Assoc-acdm,12,Exec-managerial,Wife,<=50K
HS-grad,9,Other-service,Other-relative,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
Assoc-voc,11,Prof-specialty,Husband,>50K
HS-grad,9,Exec-managerial,Husband,<=50K
HS-grad,9,Transport-moving,Not-in-family,<=50K
HS-grad,9,Priv-house-serv,Unmarried,<=50K
Masters,14,Exec-managerial,Not-in-family,>50K
Some-college,10,Craft-repair,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
HS-grad,9,Farming-fishing,Husband,<=50K
Some-college,10,noValueSetHere123156456,Not-in-family,<=50K
Bachelors,13,Exec-managerial,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Wife,>50K
HS-grad,9,Exec-managerial,Not-in-family,>50K
HS-grad,9,Craft-repair,Husband,<=50K
Bachelors,13,Handlers-cleaners,Own-child,>50K
11th,7,Machine-op-inspct,Own-child,<=50K
HS-grad,9,Other-service,Not-in-family,<=50K
Bachelors,13,Tech-support,Husband,>50K
HS-grad,9,Other-service,Not-in-family,<=50K
Assoc-voc,11,Craft-repair,Own-child,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
Some-college,10,Adm-clerical,Own-child,<=50K
HS-grad,9,Prof-specialty,Husband,>50K
HS-grad,9,Transport-moving,Husband,<=50K
HS-grad,9,Machine-op-inspct,Own-child,<=50K
Masters,14,Exec-managerial,Husband,>50K
10th,6,Handlers-cleaners,Own-child,<=50K
Bachelors,13,Prof-specialty,Not-in-family,<=50K
HS-grad,9,noValueSetHere123156456,Not-in-family,<=50K
Assoc-voc,11,Machine-op-inspct,Husband,<=50K
Doctorate,16,Exec-managerial,Husband,>50K
HS-grad,9,Sales,Husband,<=50K
HS-grad,9,Craft-repair,Not-in-family,<=50K
HS-grad,9,Other-service,Not-in-family,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
10th,6,Transport-moving,Husband,<=50K
HS-grad,9,Protective-serv,Not-in-family,>50K
Bachelors,13,Tech-support,Not-in-family,<=50K
12th,8,Transport-moving,Unmarried,<=50K
11th,7,noValueSetHere123156456,Wife,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Craft-repair,Own-child,<=50K
Assoc-voc,11,Machine-op-inspct,Husband,>50K
HS-grad,9,Other-service,Husband,<=50K
HS-grad,9,Exec-managerial,Husband,<=50K
Bachelors,13,Adm-clerical,Not-in-family,<=50K
Assoc-voc,11,Craft-repair,Husband,<=50K
HS-grad,9,Craft-repair,Not-in-family,>50K
11th,7,Transport-moving,Husband,<=50K
9th,5,Sales,Not-in-family,>50K
HS-grad,9,noValueSetHere123156456,Own-child,<=50K
Some-college,10,Adm-clerical,Wife,<=50K
Some-college,10,Protective-serv,Husband,<=50K
HS-grad,9,Tech-support,Not-in-family,<=50K
Bachelors,13,Tech-support,Husband,<=50K
HS-grad,9,Craft-repair,Husband,>50K
Masters,14,Craft-repair,Husband,<=50K
HS-grad,9,Other-service,Unmarried,<=50K
Some-college,10,Exec-managerial,Unmarried,<=50K
HS-grad,9,Adm-clerical,Not-in-family,<=50K
Some-college,10,Transport-moving,Own-child,<=50K
Assoc-acdm,12,Craft-repair,Husband,>50K
Some-college,10,Other-service,Own-child,<=50K
11th,7,Transport-moving,Husband,<=50K
Some-college,10,Exec-managerial,Unmarried,<=50K
Some-college,10,Adm-clerical,Own-child,<=50K
Some-college,10,Sales,Own-child,<=50K
Bachelors,13,Exec-managerial,Own-child,<=50K
5th-6th,3,Transport-moving,Not-in-family,<=50K
Bachelors,13,Sales,Own-child,<=50K
Some-college,10,Prof-specialty,Unmarried,<=50K
HS-grad,9,Other-service,Wife,<=50K
9th,5,Machine-op-inspct,Unmarried,<=50K
Bachelors,13,Protective-serv,Husband,>50K
HS-grad,9,Adm-clerical,Wife,<=50K
Bachelors,13,Sales,Own-child,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Bachelors,13,Adm-clerical,Not-in-family,<=50K
Masters,14,Prof-specialty,Own-child,<=50K
Some-college,10,Tech-support,Husband,>50K
HS-grad,9,Craft-repair,Husband,>50K
HS-grad,9,Farming-fishing,Not-in-family,<=50K
Assoc-acdm,12,Adm-clerical,Not-in-family,<=50K
Assoc-voc,11,Prof-specialty,Wife,>50K
11th,7,Sales,Own-child,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
HS-grad,9,Protective-serv,Husband,<=50K
Doctorate,16,Prof-specialty,Husband,<=50K
HS-grad,9,Sales,Not-in-family,<=50K
Some-college,10,Adm-clerical,Wife,<=50K
HS-grad,9,Transport-moving,Husband,<=50K
HS-grad,9,Machine-op-inspct,Other-relative,<=50K
Bachelors,13,Craft-repair,Not-in-family,<=50K
HS-grad,9,Sales,Unmarried,<=50K
5th-6th,3,Other-service,Unmarried,<=50K
HS-grad,9,Adm-clerical,Wife,<=50K
HS-grad,9,Craft-repair,Husband,>50K
Bachelors,13,Adm-clerical,Other-relative,<=50K
Assoc-voc,11,Tech-support,Not-in-family,<=50K
Some-college,10,Adm-clerical,Unmarried,<=50K
Some-college,10,Adm-clerical,Husband,>50K
HS-grad,9,Prof-specialty,Own-child,<=50K
Assoc-voc,11,Tech-support,Unmarried,<=50K
HS-grad,9,Machine-op-inspct,Husband,>50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
10th,6,Craft-repair,Not-in-family,<=50K
HS-grad,9,Exec-managerial,Unmarried,<=50K
9th,5,Craft-repair,Husband,<=50K
Bachelors,13,noValueSetHere123156456,Not-in-family,<=50K
HS-grad,9,Craft-repair,Unmarried,<=50K
HS-grad,9,Sales,Unmarried,<=50K
5th-6th,3,Priv-house-serv,Not-in-family,<=50K
Some-college,10,Transport-moving,Not-in-family,<=50K
HS-grad,9,Sales,Unmarried,<=50K
Some-college,10,Sales,Not-in-family,<=50K
HS-grad,9,Farming-fishing,Husband,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
HS-grad,9,Transport-moving,Not-in-family,<=50K
HS-grad,9,Other-service,Unmarried,<=50K
HS-grad,9,Farming-fishing,Husband,>50K
11th,7,Transport-moving,Husband,<=50K
Bachelors,13,Exec-managerial,Wife,>50K
10th,6,Craft-repair,Own-child,<=50K
11th,7,Handlers-cleaners,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
Some-college,10,Sales,Not-in-family,>50K
Masters,14,Prof-specialty,Not-in-family,<=50K
9th,5,Machine-op-inspct,Own-child,<=50K
Masters,14,Exec-managerial,Own-child,<=50K
Assoc-voc,11,Farming-fishing,Not-in-family,<=50K
Bachelors,13,Sales,Husband,>50K
HS-grad,9,Adm-clerical,Other-relative,<=50K
HS-grad,9,Other-service,Own-child,<=50K
HS-grad,9,Craft-repair,Husband,>50K
Assoc-acdm,12,Sales,Husband,<=50K
11th,7,Sales,Other-relative,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
HS-grad,9,Other-service,Unmarried,<=50K
7th-8th,4,Other-service,Husband,<=50K
10th,6,Handlers-cleaners,Husband,<=50K
Some-college,10,Protective-serv,Husband,>50K
HS-grad,9,noValueSetHere123156456,Unmarried,<=50K
Some-college,10,noValueSetHere123156456,Own-child,<=50K
HS-grad,9,noValueSetHere123156456,Husband,<=50K
Some-college,10,Sales,Husband,<=50K
HS-grad,9,Farming-fishing,Husband,<=50K
Some-college,10,Protective-serv,Husband,>50K
HS-grad,9,Other-service,Not-in-family,<=50K
HS-grad,9,noValueSetHere123156456,Not-in-family,<=50K
Some-college,10,Adm-clerical,Husband,<=50K
HS-grad,9,Craft-repair,Unmarried,<=50K
9th,5,Craft-repair,Own-child,<=50K
5th-6th,3,Handlers-cleaners,Other-relative,<=50K
Masters,14,Prof-specialty,Husband,>50K
HS-grad,9,Sales,Other-relative,<=50K
HS-grad,9,noValueSetHere123156456,Not-in-family,<=50K
10th,6,Machine-op-inspct,Husband,<=50K
Some-college,10,Exec-managerial,Husband,>50K
Bachelors,13,Exec-managerial,Not-in-family,<=50K
Masters,14,Sales,Not-in-family,<=50K
11th,7,Prof-specialty,Unmarried,<=50K
Bachelors,13,Sales,Not-in-family,>50K
11th,7,Craft-repair,Own-child,<=50K
9th,5,Craft-repair,Not-in-family,<=50K
Some-college,10,Sales,Not-in-family,<=50K
Doctorate,16,Prof-specialty,Unmarried,>50K
Bachelors,13,Exec-managerial,Husband,<=50K
HS-grad,9,Exec-managerial,Husband,>50K
HS-grad,9,Farming-fishing,Not-in-family,<=50K
Assoc-voc,11,Craft-repair,Husband,>50K
Assoc-acdm,12,Sales,Husband,<=50K
Prof-school,15,Prof-specialty,Unmarried,<=50K
HS-grad,9,Machine-op-inspct,Husband,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
HS-grad,9,Adm-clerical,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Unmarried,<=50K
HS-grad,9,Adm-clerical,Not-in-family,<=50K
Bachelors,13,Prof-specialty,Husband,>50K
Bachelors,13,noValueSetHere123156456,Husband,<=50K
Bachelors,13,Sales,Not-in-family,<=50K
Prof-school,15,Prof-specialty,Husband,>50K
7th-8th,4,noValueSetHere123156456,Not-in-family,<=50K
Some-college,10,Exec-managerial,Other-relative,<=50K
Bachelors,13,Exec-managerial,Not-in-family,<=50K
HS-grad,9,Exec-managerial,Husband,<=50K
Bachelors,13,noValueSetHere123156456,Own-child,<=50K
Masters,14,Exec-managerial,Husband,>50K
10th,6,Transport-moving,Not-in-family,<=50K
HS-grad,9,Craft-repair,Husband,<=50K
5th-6th,3,Machine-op-inspct,Husband,<=50K
Prof-school,15,Prof-specialty,Not-in-family,>50K
Masters,14,Prof-specialty,Husband,>50K
Some-college,10,Other-service,Own-child,<=50K
Bachelors,13,Exec-managerial,Husband,>50K
Some-college,10,Other-service,Wife,<=50K
Masters,14,Prof-specialty,Husband,<=50K
Bachelors,13,Farming-fishing,Husband,<=50K
HS-grad,9,Other-service,Own-child,<=50K
Some-college,10,Prof-specialty,Wife,<=50K
11th,7,Sales,Own-child,<=50K
Bachelors,13,Exec-managerial,Own-child,<=50K
HS-grad,9,Sales,Husband,>50K
HS-grad,9,Transport-moving,Own-child,<=50K
Some-college,10,Sales,Husband,>50K
Bachelors,13,Tech-support,Husband,>50K
HS-grad,9,Adm-clerical,Unmarried,<=50K
HS-grad,9,Craft-repair,Husband,>50K
HS-grad,9,Other-service,Wife,<=50K
Bachelors,13,Exec-managerial,Not-in-family,>50K
HS-grad,9,noValueSetHere123156456,Not-in-family,<=50K
Bachelors,13,Exec-managerial,Not-in-family,<=50K
Some-college,10,Adm-clerical,Not-in-family,<=50K
11th,7,Transport-moving,Husband,<=50K
Some-college,10,Craft-repair,Husband,<=50K
Some-college,10,Other-service,Own-child,<=50K
HS-grad,9,Craft-repair,Unmarried,<=50K
