H,I,N
Other-relative,Asian-Pac-Islander,Cambodia
Husband,White,United-States
Unmarried,White,United-States
Other-relative,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Italy
Husband,White,United-States
Husband,White,United-States
Own-child,Asian-Pac-Islander,United-States
Husband,White,United-States
Wife,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,Vietnam
Husband,White,United-States
Husband,Black,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,Guatemala
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,Canada
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Other,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,England
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,Peru
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Not-in-family,Asian-Pac-Islander,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,Black,Haiti
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,Mexico
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,Amer-Indian-Eskimo,South
Husband,White,United-States
Other-relative,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,Cuba
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,El-Salvador
Not-in-family,White,United-States
Own-child,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Unmarried,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Own-child,Asian-Pac-Islander,South
Husband,White,United-States
Own-child,White,United-States
Husband,White,Yugoslavia
Husband,Asian-Pac-Islander,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,Other,United-States
Other-relative,White,United-States
Not-in-family,White,El-Salvador
Wife,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Wife,White,England
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,Mexico
Husband,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Unmarried,Black,United-States
Unmarried,White,Mexico
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Other-relative,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Wife,Black,United-States
Wife,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Unmarried,Other,United-States
Other-relative,White,Italy
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,El-Salvador
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,noValueSetHere123156456
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Asian-Pac-Islander,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,Cuba
Husband,Asian-Pac-Islander,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
