B,G,O
Local-gov,Prof-specialty,>50K
Private,Exec-managerial,<=50K
Private,Adm-clerical,<=50K
Self-emp-not-inc,Prof-specialty,>50K
Self-emp-not-inc,Tech-support,>50K
Private,Sales,>50K
Private,Machine-op-inspct,<=50K
Federal-gov,Prof-specialty,>50K
Private,Craft-repair,<=50K
Federal-gov,Prof-specialty,<=50K
Private,Adm-clerical,<=50K
Federal-gov,Prof-specialty,>50K
Private,Adm-clerical,<=50K
Private,Craft-repair,<=50K
Private,Exec-managerial,<=50K
Private,Craft-repair,<=50K
Private,Machine-op-inspct,<=50K
Private,Sales,<=50K
Private,Craft-repair,>50K
Private,Transport-moving,<=50K
Private,Other-service,<=50K
Self-emp-inc,Exec-managerial,>50K
Private,Sales,<=50K
Local-gov,Protective-serv,>50K
Private,Farming-fishing,<=50K
Private,Machine-op-inspct,<=50K
Private,Other-service,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Craft-repair,<=50K
Private,Protective-serv,<=50K
Private,Craft-repair,<=50K
Private,Prof-specialty,>50K
Self-emp-inc,Exec-managerial,<=50K
Private,Craft-repair,<=50K
Self-emp-not-inc,Sales,<=50K
Private,Other-service,<=50K
Self-emp-not-inc,Protective-serv,<=50K
Local-gov,Protective-serv,<=50K
Private,Other-service,>50K
Private,Exec-managerial,<=50K
Private,Other-service,<=50K
State-gov,Prof-specialty,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Prof-specialty,>50K
Private,Craft-repair,<=50K
Local-gov,Protective-serv,<=50K
Private,Prof-specialty,>50K
Private,Other-service,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Other-service,<=50K
Private,Craft-repair,>50K
Self-emp-not-inc,Exec-managerial,<=50K
Local-gov,Prof-specialty,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Handlers-cleaners,<=50K
Private,Exec-managerial,>50K
Private,Exec-managerial,<=50K
Private,Exec-managerial,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
State-gov,Adm-clerical,<=50K
Private,Craft-repair,<=50K
Private,Craft-repair,<=50K
Private,Machine-op-inspct,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Craft-repair,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Self-emp-not-inc,Prof-specialty,>50K
Private,Machine-op-inspct,<=50K
Local-gov,Exec-managerial,>50K
Private,Other-service,<=50K
Private,Craft-repair,>50K
Self-emp-not-inc,Craft-repair,>50K
Private,Sales,<=50K
Private,Craft-repair,<=50K
Private,Exec-managerial,>50K
Private,Prof-specialty,<=50K
Private,Exec-managerial,<=50K
Self-emp-not-inc,Craft-repair,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Craft-repair,<=50K
Self-emp-inc,Exec-managerial,>50K
Private,Exec-managerial,>50K
Private,Machine-op-inspct,<=50K
Private,Tech-support,>50K
Private,Machine-op-inspct,<=50K
Private,Exec-managerial,>50K
Local-gov,Prof-specialty,>50K
Private,Other-service,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Adm-clerical,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Adm-clerical,<=50K
Private,Exec-managerial,<=50K
Self-emp-inc,Exec-managerial,>50K
Private,Handlers-cleaners,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Tech-support,<=50K
Private,Craft-repair,>50K
Private,Exec-managerial,<=50K
State-gov,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Priv-house-serv,<=50K
Private,Exec-managerial,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Tech-support,<=50K
Private,Craft-repair,<=50K
Private,Transport-moving,<=50K
State-gov,Adm-clerical,<=50K
Private,Other-service,<=50K
Private,Machine-op-inspct,<=50K
Private,Prof-specialty,<=50K
Self-emp-not-inc,Transport-moving,<=50K
Private,Protective-serv,<=50K
Private,Machine-op-inspct,<=50K
Private,Adm-clerical,<=50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Private,Adm-clerical,<=50K
Federal-gov,Adm-clerical,<=50K
State-gov,Exec-managerial,<=50K
Local-gov,Prof-specialty,<=50K
Self-emp-inc,Craft-repair,<=50K
Private,Sales,<=50K
Private,Prof-specialty,>50K
Private,Transport-moving,>50K
Private,Other-service,<=50K
Private,Transport-moving,<=50K
Private,Exec-managerial,<=50K
Private,Exec-managerial,>50K
Private,Adm-clerical,<=50K
Private,Prof-specialty,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Other-service,<=50K
Private,Other-service,>50K
Private,Machine-op-inspct,<=50K
Self-emp-inc,Farming-fishing,>50K
Self-emp-not-inc,Farming-fishing,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Craft-repair,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Sales,>50K
Private,Craft-repair,<=50K
Private,Other-service,<=50K
Private,Sales,<=50K
Private,Priv-house-serv,<=50K
Self-emp-not-inc,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Self-emp-not-inc,Sales,<=50K
Local-gov,Transport-moving,<=50K
Private,Sales,<=50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Private,Other-service,<=50K
Private,Sales,<=50K
Private,Handlers-cleaners,<=50K
Private,Prof-specialty,<=50K
Private,Transport-moving,<=50K
Private,Exec-managerial,<=50K
Private,Transport-moving,>50K
Private,Sales,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Transport-moving,<=50K
Private,Sales,>50K
Private,Priv-house-serv,<=50K
Self-emp-inc,Exec-managerial,>50K
Local-gov,Adm-clerical,<=50K
Self-emp-inc,Exec-managerial,>50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Private,Adm-clerical,<=50K
Private,Prof-specialty,>50K
Private,Adm-clerical,<=50K
Self-emp-inc,Sales,>50K
State-gov,Prof-specialty,>50K
Private,Other-service,<=50K
Private,Craft-repair,<=50K
Private,Sales,>50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
State-gov,Protective-serv,<=50K
Private,Exec-managerial,<=50K
Private,Machine-op-inspct,<=50K
Private,Exec-managerial,<=50K
Private,Adm-clerical,<=50K
Private,Tech-support,<=50K
Private,Adm-clerical,<=50K
Local-gov,Prof-specialty,<=50K
Private,Transport-moving,<=50K
Private,Adm-clerical,<=50K
Private,Transport-moving,<=50K
Private,Other-service,<=50K
Self-emp-inc,Prof-specialty,>50K
Local-gov,Prof-specialty,>50K
Private,Craft-repair,<=50K
Private,Transport-moving,<=50K
Private,Handlers-cleaners,>50K
Private,Machine-op-inspct,<=50K
Self-emp-not-inc,Sales,>50K
Private,Prof-specialty,<=50K
Private,Adm-clerical,<=50K
Private,Transport-moving,<=50K
Private,Transport-moving,<=50K
Private,Craft-repair,<=50K
Self-emp-not-inc,Exec-managerial,>50K
Private,Transport-moving,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Private,Sales,<=50K
Private,Transport-moving,<=50K
Private,Sales,>50K
Private,Machine-op-inspct,<=50K
Private,Machine-op-inspct,<=50K
Private,Other-service,<=50K
Private,Exec-managerial,<=50K
Local-gov,Craft-repair,<=50K
Private,Other-service,>50K
Self-emp-not-inc,Farming-fishing,>50K
Private,Adm-clerical,<=50K
Private,Exec-managerial,<=50K
Private,Farming-fishing,<=50K
Private,Craft-repair,<=50K
Federal-gov,Prof-specialty,>50K
Private,Handlers-cleaners,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Handlers-cleaners,<=50K
Private,Sales,<=50K
Private,Adm-clerical,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Craft-repair,<=50K
Private,Handlers-cleaners,<=50K
Private,Adm-clerical,<=50K
Local-gov,Prof-specialty,<=50K
Federal-gov,Adm-clerical,<=50K
Private,Tech-support,<=50K
Private,Exec-managerial,>50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Private,Craft-repair,<=50K
Private,Exec-managerial,>50K
Private,Adm-clerical,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Exec-managerial,<=50K
Local-gov,Prof-specialty,<=50K
Private,Exec-managerial,<=50K
Private,Exec-managerial,<=50K
Private,Craft-repair,<=50K
Private,Sales,<=50K
Private,Craft-repair,<=50K
Private,Prof-specialty,<=50K
Private,Craft-repair,<=50K
Private,Craft-repair,<=50K
Private,Tech-support,<=50K
Local-gov,Craft-repair,<=50K
Local-gov,Other-service,<=50K
Private,Machine-op-inspct,<=50K
Private,Tech-support,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
State-gov,Protective-serv,<=50K
Self-emp-inc,Sales,>50K
Private,Craft-repair,<=50K
Private,Exec-managerial,<=50K
Private,Adm-clerical,<=50K
Private,Prof-specialty,<=50K
Private,Adm-clerical,<=50K
Private,Prof-specialty,<=50K
Self-emp-not-inc,Craft-repair,>50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Private,Exec-managerial,>50K
Private,Craft-repair,>50K
Private,Machine-op-inspct,<=50K
Private,Exec-managerial,>50K
Private,Exec-managerial,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Craft-repair,<=50K
Private,Prof-specialty,>50K
Private,Machine-op-inspct,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Prof-specialty,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Prof-specialty,>50K
Private,Transport-moving,<=50K
Private,Adm-clerical,<=50K
Private,Other-service,<=50K
Private,Exec-managerial,<=50K
Self-emp-not-inc,Exec-managerial,<=50K
Self-emp-inc,Sales,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Self-emp-not-inc,Prof-specialty,<=50K
Private,Adm-clerical,<=50K
State-gov,Prof-specialty,<=50K
Private,Sales,<=50K
Private,Sales,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Local-gov,Transport-moving,<=50K
Private,Machine-op-inspct,>50K
Private,Craft-repair,<=50K
Private,Prof-specialty,<=50K
Private,Exec-managerial,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Adm-clerical,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Machine-op-inspct,<=50K
Private,Tech-support,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Self-emp-not-inc,Craft-repair,<=50K
Self-emp-inc,Exec-managerial,<=50K
Private,Sales,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Prof-specialty,>50K
Private,Transport-moving,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Farming-fishing,>50K
Private,Sales,<=50K
Self-emp-not-inc,Exec-managerial,<=50K
Private,Adm-clerical,<=50K
Private,Exec-managerial,>50K
Local-gov,Prof-specialty,>50K
Private,Tech-support,<=50K
Private,Farming-fishing,<=50K
Local-gov,Prof-specialty,<=50K
Private,Exec-managerial,>50K
Private,Prof-specialty,>50K
Private,Exec-managerial,<=50K
Private,Sales,<=50K
Private,Prof-specialty,>50K
Self-emp-not-inc,Craft-repair,<=50K
Local-gov,Exec-managerial,>50K
Private,Sales,<=50K
Private,Craft-repair,<=50K
Private,Tech-support,<=50K
Private,Transport-moving,<=50K
Private,Other-service,<=50K
Private,Prof-specialty,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Self-emp-not-inc,Transport-moving,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Local-gov,Protective-serv,<=50K
Private,Craft-repair,>50K
Private,Sales,>50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Without-pay,Transport-moving,<=50K
Private,Craft-repair,>50K
Local-gov,Exec-managerial,<=50K
Private,Craft-repair,>50K
Private,Craft-repair,<=50K
Private,Handlers-cleaners,<=50K
Federal-gov,Exec-managerial,>50K
Private,Craft-repair,<=50K
Private,Exec-managerial,<=50K
Federal-gov,Exec-managerial,<=50K
Local-gov,Craft-repair,<=50K
Private,Other-service,<=50K
Private,Exec-managerial,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Self-emp-inc,Craft-repair,>50K
State-gov,Prof-specialty,>50K
Self-emp-not-inc,Craft-repair,<=50K
State-gov,Transport-moving,>50K
Private,Sales,<=50K
Private,Prof-specialty,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Self-emp-not-inc,Exec-managerial,<=50K
Private,Prof-specialty,>50K
Private,Other-service,<=50K
Private,Sales,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Craft-repair,<=50K
Local-gov,Transport-moving,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Exec-managerial,<=50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Private,Craft-repair,>50K
Private,Machine-op-inspct,<=50K
Private,Craft-repair,<=50K
Private,Priv-house-serv,<=50K
Federal-gov,Adm-clerical,<=50K
Private,Handlers-cleaners,<=50K
Private,Sales,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Private,Machine-op-inspct,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Other-service,<=50K
Private,Craft-repair,<=50K
Local-gov,Protective-serv,<=50K
Local-gov,Prof-specialty,>50K
Federal-gov,Adm-clerical,<=50K
Private,Handlers-cleaners,<=50K
Private,Machine-op-inspct,<=50K
Self-emp-not-inc,Tech-support,<=50K
Private,Prof-specialty,<=50K
Private,Exec-managerial,>50K
Private,Sales,>50K
Private,Sales,<=50K
Private,Sales,>50K
Local-gov,Prof-specialty,<=50K
Private,Other-service,<=50K
Federal-gov,Transport-moving,>50K
Private,Other-service,<=50K
Private,Craft-repair,>50K
Private,Prof-specialty,>50K
Private,Craft-repair,>50K
Private,Sales,>50K
Private,Transport-moving,<=50K
Local-gov,Prof-specialty,<=50K
Private,Adm-clerical,>50K
Private,Handlers-cleaners,<=50K
Private,Prof-specialty,>50K
Private,Exec-managerial,<=50K
Federal-gov,Prof-specialty,>50K
Self-emp-not-inc,Exec-managerial,<=50K
Private,Exec-managerial,<=50K
Private,Adm-clerical,>50K
Local-gov,Exec-managerial,<=50K
Private,Prof-specialty,<=50K
Private,Exec-managerial,<=50K
Private,Craft-repair,<=50K
Self-emp-inc,Sales,>50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
State-gov,Adm-clerical,<=50K
Private,Machine-op-inspct,<=50K
Private,Other-service,<=50K
Private,Craft-repair,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Exec-managerial,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Self-emp-inc,Sales,>50K
Self-emp-inc,Exec-managerial,>50K
Private,Sales,>50K
Private,Sales,>50K
Private,Tech-support,<=50K
Private,Machine-op-inspct,<=50K
Self-emp-not-inc,Prof-specialty,<=50K
Private,Tech-support,>50K
Self-emp-not-inc,Prof-specialty,>50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Local-gov,Craft-repair,<=50K
Private,Handlers-cleaners,<=50K
Private,Adm-clerical,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Other-service,<=50K
Private,Transport-moving,<=50K
Private,Craft-repair,<=50K
Private,Other-service,<=50K
Local-gov,Other-service,<=50K
Private,Handlers-cleaners,<=50K
Local-gov,Adm-clerical,<=50K
Local-gov,Adm-clerical,<=50K
Federal-gov,Exec-managerial,<=50K
Self-emp-not-inc,Craft-repair,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Prof-specialty,<=50K
Private,Sales,<=50K
State-gov,Other-service,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Machine-op-inspct,<=50K
Private,Prof-specialty,>50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Self-emp-inc,Sales,<=50K
Private,Exec-managerial,<=50K
Private,Sales,<=50K
Private,Adm-clerical,>50K
Private,Adm-clerical,>50K
Self-emp-not-inc,Prof-specialty,>50K
Self-emp-not-inc,Prof-specialty,<=50K
Private,Other-service,<=50K
Private,Sales,<=50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Private,Sales,<=50K
Private,Adm-clerical,<=50K
Self-emp-inc,Sales,<=50K
State-gov,Adm-clerical,<=50K
State-gov,Exec-managerial,>50K
Private,Craft-repair,<=50K
Self-emp-not-inc,Farming-fishing,>50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Federal-gov,Adm-clerical,>50K
State-gov,Prof-specialty,<=50K
Private,Transport-moving,<=50K
Private,Other-service,<=50K
Private,Machine-op-inspct,<=50K
Private,Other-service,<=50K
Local-gov,Prof-specialty,<=50K
Private,Machine-op-inspct,<=50K
Private,Prof-specialty,>50K
Private,Sales,<=50K
Private,Transport-moving,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Adm-clerical,<=50K
Private,Craft-repair,>50K
Private,Sales,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Exec-managerial,<=50K
Self-emp-not-inc,Other-service,<=50K
Private,Sales,<=50K
Private,Farming-fishing,<=50K
Private,Farming-fishing,<=50K
Private,Handlers-cleaners,<=50K
Private,Adm-clerical,<=50K
Private,Craft-repair,>50K
State-gov,Adm-clerical,>50K
Private,Machine-op-inspct,>50K
Private,Exec-managerial,>50K
Private,Machine-op-inspct,<=50K
State-gov,Exec-managerial,<=50K
Self-emp-not-inc,Craft-repair,<=50K
Local-gov,Prof-specialty,<=50K
Federal-gov,Transport-moving,>50K
Private,Craft-repair,<=50K
State-gov,Farming-fishing,<=50K
Private,Craft-repair,>50K
Private,Exec-managerial,>50K
Self-emp-not-inc,Prof-specialty,<=50K
Local-gov,Adm-clerical,<=50K
Private,Exec-managerial,>50K
Private,Exec-managerial,<=50K
Self-emp-inc,Exec-managerial,>50K
Private,Exec-managerial,>50K
Local-gov,Handlers-cleaners,<=50K
Private,Other-service,<=50K
Private,Adm-clerical,<=50K
Private,Craft-repair,>50K
Private,Sales,<=50K
Private,Adm-clerical,<=50K
Private,Machine-op-inspct,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Sales,<=50K
Private,Craft-repair,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Handlers-cleaners,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Sales,<=50K
Self-emp-not-inc,Craft-repair,>50K
Private,Handlers-cleaners,<=50K
Private,Sales,<=50K
Local-gov,Prof-specialty,>50K
Private,Transport-moving,>50K
Local-gov,Protective-serv,>50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Federal-gov,Exec-managerial,<=50K
State-gov,Sales,>50K
Private,Sales,<=50K
Self-emp-inc,Exec-managerial,>50K
Private,Transport-moving,<=50K
Private,Prof-specialty,<=50K
Private,Tech-support,>50K
Private,Craft-repair,<=50K
Private,Craft-repair,>50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Other-service,>50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Private,Adm-clerical,<=50K
Private,Protective-serv,<=50K
Local-gov,Prof-specialty,>50K
Private,Prof-specialty,>50K
Private,Prof-specialty,<=50K
Private,Machine-op-inspct,<=50K
Private,Craft-repair,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Other-service,<=50K
Private,Exec-managerial,<=50K
Federal-gov,Exec-managerial,>50K
Self-emp-not-inc,Prof-specialty,<=50K
Self-emp-not-inc,Sales,>50K
Private,Machine-op-inspct,<=50K
Federal-gov,Exec-managerial,>50K
Private,Craft-repair,<=50K
Self-emp-not-inc,Sales,>50K
Private,Adm-clerical,<=50K
Private,Exec-managerial,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Machine-op-inspct,<=50K
Local-gov,Exec-managerial,<=50K
Private,Exec-managerial,<=50K
Private,Farming-fishing,<=50K
Private,Other-service,<=50K
Private,Farming-fishing,<=50K
noValueSetHere123156456,noValueSetHere123156456,>50K
Private,Handlers-cleaners,<=50K
Federal-gov,Adm-clerical,<=50K
Private,Sales,<=50K
Private,Transport-moving,<=50K
Private,Machine-op-inspct,<=50K
Private,Craft-repair,<=50K
Private,Prof-specialty,<=50K
Local-gov,Prof-specialty,<=50K
Private,Adm-clerical,<=50K
Private,Craft-repair,<=50K
Private,Machine-op-inspct,<=50K
noValueSetHere123156456,noValueSetHere123156456,<=50K
Private,Machine-op-inspct,<=50K
Private,Adm-clerical,>50K
Private,Prof-specialty,<=50K
Never-worked,noValueSetHere123156456,<=50K
Local-gov,Other-service,<=50K
Private,Craft-repair,<=50K
Private,Sales,>50K
Private,Other-service,<=50K
Private,Other-service,<=50K
Private,Exec-managerial,>50K
Self-emp-not-inc,Craft-repair,<=50K
Private,Other-service,<=50K
Private,Prof-specialty,>50K
Private,Craft-repair,<=50K
Private,Adm-clerical,<=50K
Local-gov,Handlers-cleaners,<=50K
Private,Adm-clerical,<=50K
Private,Handlers-cleaners,<=50K
Self-emp-not-inc,Farming-fishing,<=50K
Private,Craft-repair,>50K
State-gov,Adm-clerical,<=50K
Federal-gov,Adm-clerical,>50K
Private,Machine-op-inspct,<=50K
Private,Craft-repair,<=50K
Private,Machine-op-inspct,<=50K
Private,Farming-fishing,<=50K
Self-emp-not-inc,Prof-specialty,<=50K
Self-emp-inc,Sales,<=50K
Local-gov,Tech-support,>50K
Private,Prof-specialty,>50K
Private,Exec-managerial,<=50K
Private,Adm-clerical,<=50K
Private,Prof-specialty,>50K
Private,Exec-managerial,<=50K
Local-gov,Adm-clerical,>50K
Self-emp-inc,Exec-managerial,<=50K
