B,D,E,F,G,H,I,J,N,O
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,>50K
Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Never-married,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Widowed,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,El-Salvador,<=50K
Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
State-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Local-gov,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Some-college,10,Separated,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,Puerto-Rico,<=50K
Federal-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,noValueSetHere123156456,<=50K
Private,Assoc-voc,11,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,United-States,<=50K
noValueSetHere123156456,Bachelors,13,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Other,Female,Mexico,>50K
Self-emp-inc,10th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,10th,6,Never-married,Other-service,Own-child,Black,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Federal-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,Philippines,>50K
Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,United-States,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Masters,14,Never-married,noValueSetHere123156456,Unmarried,Asian-Pac-Islander,Male,Taiwan,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,Vietnam,<=50K
Private,Some-college,10,Widowed,Other-service,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,Puerto-Rico,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Local-gov,Bachelors,13,Never-married,Tech-support,Unmarried,Asian-Pac-Islander,Female,Vietnam,<=50K
Private,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,noValueSetHere123156456,<=50K
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Other,Male,United-States,<=50K
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,Philippines,<=50K
Local-gov,12th,8,Never-married,Handlers-cleaners,Unmarried,Black,Female,United-States,<=50K
Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,Vietnam,<=50K
Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
noValueSetHere123156456,9th,5,Divorced,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Self-emp-not-inc,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
Federal-gov,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Private,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Federal-gov,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,>50K
State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,1st-4th,2,Never-married,noValueSetHere123156456,Own-child,Asian-Pac-Islander,Male,Philippines,<=50K
Private,10th,6,Married-civ-spouse,Other-service,Wife,Black,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Local-gov,HS-grad,9,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,United-States,<=50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Separated,Sales,Other-relative,Black,Female,United-States,<=50K
Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,Italy,>50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Federal-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Local-gov,Some-college,10,Never-married,Transport-moving,Unmarried,Black,Female,United-States,<=50K
Local-gov,HS-grad,9,Never-married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,United-States,<=50K
State-gov,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Other-relative,White,Female,United-States,<=50K
Local-gov,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,Canada,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,11th,7,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Divorced,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Separated,Priv-house-serv,Not-in-family,White,Female,Guatemala,<=50K
Private,HS-grad,9,Divorced,Sales,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,7th-8th,4,Separated,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,Holand-Netherlands,<=50K
Private,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,Philippines,<=50K
Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Tech-support,Other-relative,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
noValueSetHere123156456,Some-college,10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
noValueSetHere123156456,HS-grad,9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,10th,6,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,11th,7,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,noValueSetHere123156456,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
State-gov,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,11th,7,Divorced,Other-service,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,10th,6,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,United-States,<=50K
